Threshold,Accuracy,Balanced Accuracy,Precision,Recall/Sensitivity,Specificity,NPV,F1-macro,ROC-AUC,Brier score
0.6576475196312428,0.5,0.6666666666666666,1.0,0.3333333333333333,1.0,0.3333333333333333,0.5,0.875,0.20014339554667712
0.66,0.46875,0.6458333333333334,1.0,0.2916666666666667,1.0,0.32,0.4682306940371457,0.875,0.20014339554667712
0.665,0.46875,0.6458333333333334,1.0,0.2916666666666667,1.0,0.32,0.4682306940371457,0.875,0.20014339554667712
0.67,0.46875,0.6458333333333334,1.0,0.2916666666666667,1.0,0.32,0.4682306940371457,0.875,0.20014339554667712
0.675,0.46875,0.6458333333333334,1.0,0.2916666666666667,1.0,0.32,0.4682306940371457,0.875,0.20014339554667712
0.6790856602105539,0.46875,0.6458333333333334,1.0,0.2916666666666667,1.0,0.32,0.4682306940371457,0.875,0.20014339554667712
0.68,0.4375,0.625,1.0,0.25,1.0,0.3076923076923077,0.43529411764705883,0.875,0.20014339554667712
0.685,0.4375,0.625,1.0,0.25,1.0,0.3076923076923077,0.43529411764705883,0.875,0.20014339554667712
0.6900000000000001,0.4375,0.625,1.0,0.25,1.0,0.3076923076923077,0.43529411764705883,0.875,0.20014339554667712
0.6950000000000001,0.4375,0.625,1.0,0.25,1.0,0.3076923076923077,0.43529411764705883,0.875,0.20014339554667712
0.6996595411671023,0.4375,0.625,1.0,0.25,1.0,0.3076923076923077,0.43529411764705883,0.875,0.20014339554667712
